id,name,date,proposed_slug,note
6aa698a8-6ebc-4a50-b76b-faba5646d3b7,RECESS Garden Party [2],2022-08-14,recess-garden-party-2-2022,hand-cleaned from date-collision
c38a7c04-9f22-44b8-93e9-7aecbec501bc,RECESS Carnival Weekend 2022 [1],2022-08-26,recess-carnival-weekend-2022-1,
1b36138d-6629-46e5-b013-5a69792e5753,RECESS Carnival Weekend 2022 [2],2022-08-27,recess-carnival-weekend-2022-2,
f989a0aa-7ccd-44ef-9515-7f580b44fc87,RECESS NYC [2022],2022-09-04,recess-nyc-2022,
c49dcfdb-91ef-424a-8e46-c7d1d835f5ea,RECESS Toronto,2022-09-10,recess-toronto,
73133198-4c3f-4723-a490-c6ef61ca5caf,RECESS (RIP Lizbet),2022-09-19,recess-rip-lizbet,
36ec4a77-7e6b-4a3f-93c5-294193c7385e,RECESS Summer Is Over [2022],2022-09-25,recess-summer-is-over-2022,
f85f7d02-7891-45af-b387-59e36de9b68b,RECESS Black Cinema,2022-10-31,recess-black-cinema,
d45eac0d-c212-49ac-9867-ba7fde0904cf,RECESS Outernet,2022-12-18,recess-outernet,
da1012dd-590d-496e-9598-7b9a7e9eec65,RECESS Pre-NYE,2022-12-29,recess-pre-nye,
cded99b6-c93a-46ab-9c95-7bf7d540aba3,RECESS NYE [2022],2022-12-31,recess-nye-2022,
9569ab3c-e781-4081-b9ab-c6f27c38123e,RECESS Bloom Bar,2023-01-04,recess-bloom-bar,
7d4cb161-80fd-42a0-a75b-98c3c73e144c,RECESS Skate Club Vol. 1,2023-03-05,recess-skate-club-vol-1,
f8feb62a-8315-473b-bc38-4d4164442252,RECESS March 2023,2023-03-10,recess-march-2023,
4e8f32b5-0fd0-4638-a268-cdef1443ab49,RECESS Garden Party 2023 [1],2023-04-10,recess-garden-party-2023-1,
6928ee0c-6fdc-46a0-88a0-bae6f773d379,RECESS May 2023,2023-05-01,recess-may-2023,
78bd49e8-451c-4e25-8569-df9d6b6c81da,RECESS Skate Club Vol. 2,2023-05-07,recess-skate-club-vol-2,
2b8f00a6-959f-4eb6-b1f7-55bb869f07df,RECESS 99,2023-05-08,recess-99,
41bfda26-6dd7-489c-96e6-0b46faef3058,Recessland 2023,2023-05-27,recessland-2023,
93288884-6b4f-42b0-9e4b-6ff6be7fb5aa,RECESS Garden Party [2],2023-07-16,recess-garden-party-2-2023,hand-cleaned from date-collision
d30ce355-412f-4635-bc9f-b7d515ae5ee7,RECESS Garden Party [3],2023-07-30,recess-garden-party-3,
a39db455-d2ea-49b1-ba4d-a70bd789f42d,A Day In Paris,2023-08-12,a-day-in-paris-2023,hand-cleaned from date-collision
7ea25223-ef37-4f04-8b97-d27bcfe72bf4,RECESS Garden Party (25+),2023-08-20,recess-garden-party-25-plus,
f077ac3d-75ba-4b7b-aeba-21529989bec3,RECESS Carnival Weekend 2023,2023-08-26,recess-carnival-weekend-2023,
05452d1d-8851-4fc9-99e0-8f9818996863,RECESS NYC [2023],2023-09-09,recess-nyc-2023,
d5fd2c63-8045-46b9-a397-1691fdd4c97e,RECESS Summer Is Over 2023,2023-09-24,recess-summer-is-over-2023,
c45e35bc-2ed7-4b66-a40c-5fb1bffa893e,RECESS x Chocolate City,2023-10-18,recess-x-chocolate-city,
4091caf3-0058-4e14-bf26-9ca2fdffe248,Friday Nite Fever,2023-10-27,friday-nite-fever,
6726c8e0-f85b-4fef-9347-a644254d48b7,RECESS Skate Club Vol. 3,2023-11-26,recess-skate-club-vol-3,
190284ef-e392-4db1-8e9d-9144ec9abcfb,RECESS (25+),2023-12-30,recess-25plus-dec-2023,hand-cleaned from date-collision
5f8e5815-4c24-45eb-b0c2-aae80d869833,RECESS New Year's Day,2024-01-01,recess-new-years-day,cosmetic hand-fix
dd4dc566-def6-400d-8555-7d513bbb648b,RECESS Drumsheds,2024-03-02,recess-drumsheds,
32f747fe-5d6f-482f-88e7-b5cbdfe9f401,RECESS x Topicals,2024-04-04,recess-x-topicals,
214b24e6-4193-4124-88a1-cace5db3f82f,RECESS (25+),2024-05-05,recess-25plus-may-2024,hand-cleaned from date-collision
3d01b90c-beae-48dc-8fb5-db5b8ffef10f,Recessland 2024,2024-05-25,recessland-2024,
791f0753-af95-4754-9ba1-2ca6410aed52,Fete de la Musique 2024,2024-06-21,fete-de-la-musique-2024,
c815f8c6-ad43-400e-8b89-7543ef736189,RECESS 4 U BY U [1],2024-06-30,recess-4-u-by-u-1,
064d99b9-0ee7-4667-9bb6-8e9d2cf34d66,RECESS x Sesh,2024-07-27,recess-x-sesh,
5481949d-a037-41f9-96fb-9d350c989b12,RECESS: 4 U BY U [2],2024-08-04,recess-4-u-by-u-2,
97de6075-c9fb-4128-a57f-3b467470848d,RECESS x Chocolate City [2],2024-08-10,recess-x-chocolate-city-2,
bd26e682-e496-41e3-9cc3-117ad70a81cc,A Weekend in Paris: PlayPiem x Sixtion,2024-08-16,a-weekend-in-paris-playpiem-x-sixtion,
90d773ed-253d-4fcf-9525-a27e12eeea80,A Weekend in Paris: SJWA,2024-08-16,a-weekend-in-paris-sjwa,
2bcc920d-f89f-4406-98d1-7984a8b72b92,A Weekend in Paris: Main Event,2024-08-17,a-weekend-in-paris-main-event,
b95b15ae-c1fe-4932-8198-93a33e48c2fe,A Weekend in Paris: Coupe de Ball,2024-08-18,a-weekend-in-paris-coupe-de-ball,
52fe599b-09ac-41a4-94f5-99b7a1f4ad2e,A Weekend in Paris: Pana Run Club,2024-08-18,a-weekend-in-paris-pana-run-club,
270ea193-4e28-477c-b14b-c8874c4ba405,A Weekend in Paris: Paint & Party,2024-08-18,a-weekend-in-paris-paint-and-party,
22f7a53d-23df-4e38-82bc-4a3014e1e721,A Day In Paris,2024-08-18,a-day-in-paris-2024,hand-cleaned from date-collision
68d1fff8-3601-43d9-815e-5ca7b9fda497,RECESS 25+,2024-08-24,recess-25plus-aug-2024,hand-cleaned from date-collision
885c112c-6e22-43e8-bc67-3f4d219030f3,RECESS Carnival Afters [2024],2024-08-25,recess-carnival-afters-2024,
d471e9dc-7d18-4a1e-b809-7d6a5fc510bf,RECESS x Converse x Daily Paper,2024-08-26,recess-x-converse-x-daily-paper,
6fa9d8c1-5033-4859-9a4f-7c7bbef60c60,RECESS NYC [2024],2024-09-08,recess-nyc-2024,
267db817-e114-420c-97a7-ed7ef9f569f8,RECESS x Y3Y3,2024-10-17,recess-x-y3y3,
6ca2f786-ebfe-4d8c-94d1-68fcd60b5a8d,RECESS December 2024,2024-12-20,recess-december-2024,
d60e6946-f05b-4eb1-a66e-afcd2100d7d4,RECESS (25+),2025-05-04,recess-25plus-may-2025,hand-cleaned from date-collision
ec4d92c7-9265-44c8-8b23-27a5ce1c4125,Recessland 2025,2025-05-24,recessland-2025,
56268873-4399-421e-ab5b-36d7e189ab16,Fete de la Musique 2025,2025-06-21,fete-de-la-musique-2025,
29fad00e-9d02-4709-8b4d-c02d921161fa,RECESS x SESH [2],2025-06-28,recess-x-sesh-2,
7f3bb686-c398-47d2-a5af-9faef1d762ca,RECESS Skate Club Vol. 4,2025-07-12,recess-skate-club-vol-4,
40a8ff1f-9ae0-41eb-80c6-078c6a1dc6f4,RECESS x Boiler Room,2025-08-01,recess-x-boiler-room,
9fc0563e-fc2e-4e2a-a0ad-f2293ab40476,RECESS Block Party Aug 2025,2025-08-24,recess-block-party-aug-2025,
aca87dd8-94d2-4c5a-8c95-e5abb567222a,Friendsmas,2025-12-20,friendsmas,
528df55b-16ec-456c-88fe-83f94b16db2b,RECESS x BACKYARD,2026-01-06,recess-x-backyard,
4ab1c3a7-adb3-4f3c-9080-1749e5ee8e43,RECESS 10,2026-03-29,recess-10,
b4ee0140-708c-4ee5-a6f6-b38608530d96,Precessland with Aveeno,2026-05-03,precessland-with-aveeno,
6c5527a5-a7b3-41ef-b872-061fca9e52cf,Recessland 2026,2026-05-23,recessland-2026,PINNED to match slugs.ts
